Ord,PK_VISITAS,FECHA,year,loc,specie,n,dis,desp
9525,1341,04/26/2016,2016,DIL,Aegithalos caudatus,1,191,5
9547,1341,04/26/2016,2016,DIL,Aegithalos caudatus,1,576,5
9620,1279,04/25/2016,2016,GEN,Aegithalos caudatus,1,257,5
9638,1279,04/25/2016,2016,GEN,Aegithalos caudatus,1,1390,5
9642,1279,04/25/2016,2016,GEN,Aegithalos caudatus,1,1780,5
9733,1343,03/31/2016,2016,DIL,Aegithalos caudatus,1,1010,40
9753,1343,03/31/2016,2016,DIL,Aegithalos caudatus,3,1215,5
9971,1278,03/11/2016,2016,GEN,Aegithalos caudatus,5,1510,5
10237,1263,02/09/2016,2016,CAM,Aegithalos caudatus,6,23,5
10254,1263,02/09/2016,2016,CAM,Aegithalos caudatus,2,2050,15
10255,1263,02/09/2016,2016,CAM,Aegithalos caudatus,2,2380,5
10267,1315,02/04/2016,2016,DIL,Aegithalos caudatus,2,1000,5
10283,1315,02/04/2016,2016,DIL,Aegithalos caudatus,2,0,20
10290,1315,02/04/2016,2016,DIL,Aegithalos caudatus,2,797,20
10520,1271,01/22/2016,2016,DIL,Aegithalos caudatus,2,1736,20
10805,1269,12/05/2015,2015,CAN,Aegithalos caudatus,4,1235,20
10833,1295,12/04/2015,2015,DIL,Aegithalos caudatus,6,280,20
10848,1295,12/04/2015,2015,DIL,Aegithalos caudatus,3,1121,20
11026,1291,11/18/2015,2015,DIL,Aegithalos caudatus,1,510,40
11034,1291,11/18/2015,2015,DIL,Aegithalos caudatus,4,2070,5
11225,1288,10/27/2015,2015,GEN,Aegithalos caudatus,1,1780,20
11230,1288,10/27/2015,2015,GEN,Aegithalos caudatus,4,2390,20
11243,1288,10/27/2015,2015,GEN,Aegithalos caudatus,3,2100,20
11807,1208,09/20/2015,2015,GEN,Aegithalos caudatus,4,1445,5
11808,1208,09/20/2015,2015,GEN,Aegithalos caudatus,1,1350,20
12386,1250,08/05/2015,2015,CAM,Aegithalos caudatus,4,700,.
12483,1165,08/04/2015,2015,CAN,Aegithalos caudatus,3,1703,20
12551,1171,07/29/2015,2015,GEN,Aegithalos caudatus,2,1400,20
12555,1171,07/29/2015,2015,GEN,Aegithalos caudatus,1,310,20
12881,1249,07/10/2015,2015,CAM,Aegithalos caudatus,2,1180,5
12885,1249,07/10/2015,2015,CAM,Aegithalos caudatus,3,170,5
13419,1248,06/08/2015,2015,CAM,Aegithalos caudatus,2,1680,25
13440,1248,06/08/2015,2015,CAM,Aegithalos caudatus,2,1840,5
13443,1248,06/08/2015,2015,CAM,Aegithalos caudatus,3,430,5
13651,1149,06/03/2015,2015,DIL,Aegithalos caudatus,4,1321,20
13668,1149,06/03/2015,2015,DIL,Aegithalos caudatus,3,2226,5
14251,1254,05/10/2015,2015,CAM,Aegithalos caudatus,2,1240,15
14255,1254,05/10/2015,2015,CAM,Aegithalos caudatus,3,1820,5
14267,1254,05/10/2015,2015,CAM,Aegithalos caudatus,4,470,25
14321,1184,05/07/2015,2015,DIL,Aegithalos caudatus,5,775,5
14363,1184,05/07/2015,2015,DIL,Aegithalos caudatus,2,2038,5
14441,1150,04/29/2015,2015,DIL,Aegithalos caudatus,2,140,20
14860,1246,04/08/2015,2015,CAM,Aegithalos caudatus,3,610,5
14865,1246,04/08/2015,2015,CAM,Aegithalos caudatus,1,2250,5
14866,1246,04/08/2015,2015,CAM,Aegithalos caudatus,2,1960,5
14878,1246,04/08/2015,2015,CAM,Aegithalos caudatus,4,970,5
14887,1246,04/08/2015,2015,CAM,Aegithalos caudatus,2,1690,5
15037,1113,03/26/2015,2015,CAN,Aegithalos caudatus,5,536,5
15130,1245,03/16/2015,2015,CAM,Aegithalos caudatus,3,1760,5
15152,1245,03/16/2015,2015,CAM,Aegithalos caudatus,2,470,5
15373,1112,02/26/2015,2015,CAN,Aegithalos caudatus,2,1446,5
15444,1244,02/10/2015,2015,CAM,Aegithalos caudatus,2,360,5
15450,1182,01/28/2015,2015,CAN,Aegithalos caudatus,2,860,20
15464,1182,01/28/2015,2015,CAN,Aegithalos caudatus,2,600,20
15480,1243,01/15/2015,2015,CAM,Aegithalos caudatus,1,630,5
15539,1049,12/11/2014,2014,CAN,Aegithalos caudatus,2,210,15
15547,1049,12/11/2014,2014,CAN,Aegithalos caudatus,1,1245,5
15556,1049,12/11/2014,2014,CAN,Aegithalos caudatus,1,1620,5
15569,1049,12/11/2014,2014,CAN,Aegithalos caudatus,1,1785,35
15584,1088,12/09/2014,2014,GEN,Aegithalos caudatus,4,1105,45
15730,1105,11/26/2014,2014,GEN,Aegithalos caudatus,7,2117,5
15742,1105,11/26/2014,2014,GEN,Aegithalos caudatus,6,476,25
15815,1084,11/24/2014,2014,CAN,Aegithalos caudatus,2,1760,25
15834,1084,11/24/2014,2014,CAN,Aegithalos caudatus,1,460,5
16084,1103,10/28/2014,2014,DIL,Aegithalos caudatus,6,1055,5
16362,1100,10/07/2014,2014,CAN,Aegithalos caudatus,4,1154,5
16593,1061,09/25/2014,2014,DIL,Aegithalos caudatus,4,1990,25
16738,1059,09/17/2014,2014,GEN,Aegithalos caudatus,10,1910,15
16968,1048,08/28/2014,2014,DIL,Aegithalos caudatus,2,290,45
16990,1048,08/28/2014,2014,DIL,Aegithalos caudatus,2,680,45
17104,1121,08/18/2014,2014,CAM,Aegithalos caudatus,3,2160,5
17238,1118,08/08/2014,2014,CAM,Aegithalos caudatus,2,1800,5
17256,1118,08/08/2014,2014,CAM,Aegithalos caudatus,3,1930,5
17267,1118,08/08/2014,2014,CAM,Aegithalos caudatus,4,840,5
17386,1094,07/24/2014,2014,GEN,Aegithalos caudatus,4,2370,5
17547,1120,07/12/2014,2014,CAM,Aegithalos caudatus,2,1480,5
17553,1120,07/12/2014,2014,CAM,Aegithalos caudatus,3,620,5
17555,1120,07/12/2014,2014,CAM,Aegithalos caudatus,2,1270,5
18361,1119,06/10/2014,2014,CAM,Aegithalos caudatus,3,1410,5
18365,1119,06/10/2014,2014,CAM,Aegithalos caudatus,2,1750,5
19285,1013,04/14/2014,2014,GEN,Aegithalos caudatus,2,1437,15
19449,1117,04/10/2014,2014,CAM,Aegithalos caudatus,2,570,5
19463,1117,04/10/2014,2014,CAM,Aegithalos caudatus,2,1100,25
19469,1117,04/10/2014,2014,CAM,Aegithalos caudatus,3,1310,5
19485,1117,04/10/2014,2014,CAM,Aegithalos caudatus,2,1500,5
19494,1117,04/10/2014,2014,CAM,Aegithalos caudatus,2,2300,5
19621,1044,03/27/2014,2014,GEN,Aegithalos caudatus,2,562,15
19627,1044,03/27/2014,2014,GEN,Aegithalos caudatus,4,15,15
19628,1044,03/27/2014,2014,GEN,Aegithalos caudatus,2,1968,25
19639,1044,03/27/2014,2014,GEN,Aegithalos caudatus,3,2373,5
19661,1006,03/25/2014,2014,DIL,Aegithalos caudatus,1,2158,5
19869,1116,03/10/2014,2014,CAM,Aegithalos caudatus,3,380,5
19893,1116,03/10/2014,2014,CAM,Aegithalos caudatus,4,1280,5
19974,1010,02/06/2014,2014,CAN,Aegithalos caudatus,4,314,5
20066,1003,12/16/2013,2013,DIL,Aegithalos caudatus,2,2084,5
20174,999,12/03/2013,2013,CAN,Aegithalos caudatus,1,170,25
20196,1000,11/26/2013,2013,DIL,Aegithalos caudatus,4,0,15
20199,1000,11/26/2013,2013,DIL,Aegithalos caudatus,3,255,5
20649,989,10/10/2013,2013,DIL,Aegithalos caudatus,2,2250,45
20661,989,10/10/2013,2013,DIL,Aegithalos caudatus,4,175,45
20758,963,10/05/2013,2013,CAM,Aegithalos caudatus,2,290,5
20761,963,10/05/2013,2013,CAM,Aegithalos caudatus,1,530,5
20765,963,10/05/2013,2013,CAM,Aegithalos caudatus,2,100,5
20794,963,10/05/2013,2013,CAM,Aegithalos caudatus,2,1760,5
20820,963,10/05/2013,2013,CAM,Aegithalos caudatus,2,1960,5
21172,962,09/10/2013,2013,CAM,Aegithalos caudatus,2,280,5
21174,962,09/10/2013,2013,CAM,Aegithalos caudatus,2,950,5
21209,962,09/10/2013,2013,CAM,Aegithalos caudatus,4,1460,5
21483,961,08/08/2013,2013,CAM,Aegithalos caudatus,1,1000,5
21491,961,08/08/2013,2013,CAM,Aegithalos caudatus,2,1320,5
21515,961,08/08/2013,2013,CAM,Aegithalos caudatus,3,2200,5
21527,961,08/08/2013,2013,CAM,Aegithalos caudatus,2,2240,5
21993,960,07/10/2013,2013,CAM,Aegithalos caudatus,3,870,5
22016,960,07/10/2013,2013,CAM,Aegithalos caudatus,3,1540,5
22027,960,07/10/2013,2013,CAM,Aegithalos caudatus,4,1290,5
22617,959,06/10/2013,2013,CAM,Aegithalos caudatus,2,1080,5
22620,959,06/10/2013,2013,CAM,Aegithalos caudatus,2,1530,5
22646,959,06/10/2013,2013,CAM,Aegithalos caudatus,2,2110,5
23189,958,05/10/2013,2013,CAM,Aegithalos caudatus,3,110,15
23191,958,05/10/2013,2013,CAM,Aegithalos caudatus,4,350,25
23209,958,05/10/2013,2013,CAM,Aegithalos caudatus,2,1110,15
23219,958,05/10/2013,2013,CAM,Aegithalos caudatus,4,860,15
23593,859,04/19/2013,2013,DIL,Aegithalos caudatus,3,1145,25
23596,859,04/19/2013,2013,DIL,Aegithalos caudatus,2,1102,15
23796,957,04/12/2013,2013,CAM,Aegithalos caudatus,4,1040,5
23799,957,04/12/2013,2013,CAM,Aegithalos caudatus,2,500,5
23800,957,04/12/2013,2013,CAM,Aegithalos caudatus,1,460,15
23815,957,04/12/2013,2013,CAM,Aegithalos caudatus,1,2330,5
23820,957,04/12/2013,2013,CAM,Aegithalos caudatus,4,1400,5
23825,957,04/12/2013,2013,CAM,Aegithalos caudatus,1,1800,5
23968,849,03/22/2013,2013,GEN,Aegithalos caudatus,4,2150,15
24170,956,03/07/2013,2013,CAM,Aegithalos caudatus,4,1380,5
24497,843,12/19/2012,2012,DIL,Aegithalos caudatus,5,1458,5
24510,843,12/19/2012,2012,DIL,Aegithalos caudatus,3,366,5
24518,843,12/19/2012,2012,DIL,Aegithalos caudatus,3,454,25
24541,843,12/19/2012,2012,DIL,Aegithalos caudatus,2,366,15
24757,714,11/23/2012,2012,GEN,Aegithalos caudatus,5,49,5
24876,830,11/13/2012,2012,DIL,Aegithalos caudatus,3,1223,25
24895,830,11/13/2012,2012,DIL,Aegithalos caudatus,2,2347,15
24956,705,10/29/2012,2012,GEN,Aegithalos caudatus,3,1600,5
24957,705,10/29/2012,2012,GEN,Aegithalos caudatus,4,1380,15
25096,844,10/04/2012,2012,DIL,Aegithalos caudatus,1,610,5
25102,844,10/04/2012,2012,DIL,Aegithalos caudatus,1,2185,35
25117,844,10/04/2012,2012,DIL,Aegithalos caudatus,1,1740,45
25123,844,10/04/2012,2012,DIL,Aegithalos caudatus,3,1110,15
25352,693,09/24/2012,2012,GEN,Aegithalos caudatus,4,1950,5
25480,704,09/20/2012,2012,CAM,Aegithalos caudatus,1,2100,15
25485,704,09/20/2012,2012,CAM,Aegithalos caudatus,1,1890,15
25487,704,09/20/2012,2012,CAM,Aegithalos caudatus,1,530,5
25493,704,09/20/2012,2012,CAM,Aegithalos caudatus,1,2360,15
25864,687,08/10/2012,2012,CAM,Aegithalos caudatus,1,2200,15
25897,687,08/10/2012,2012,CAM,Aegithalos caudatus,1,720,5
25969,678,08/06/2012,2012,DIL,Aegithalos caudatus,4,2377,5
26326,600,07/20/2012,2012,GEN,Aegithalos caudatus,3,1330,5
26332,672,07/15/2012,2012,CAM,Aegithalos caudatus,1,1680,15
26350,672,07/15/2012,2012,CAM,Aegithalos caudatus,1,2100,15
26353,672,07/15/2012,2012,CAM,Aegithalos caudatus,1,700,15
26502,664,07/05/2012,2012,DIL,Aegithalos caudatus,1,750,5
26524,664,07/05/2012,2012,DIL,Aegithalos caudatus,2,8,15
26527,664,07/05/2012,2012,DIL,Aegithalos caudatus,2,750,15
27028,651,06/07/2012,2012,DIL,Aegithalos caudatus,2,1955,5
27051,651,06/07/2012,2012,DIL,Aegithalos caudatus,1,1915,5
27063,651,06/07/2012,2012,DIL,Aegithalos caudatus,1,1265,5
27172,658,06/02/2012,2012,CAM,Aegithalos caudatus,2,2120,5
27176,658,06/02/2012,2012,CAM,Aegithalos caudatus,1,1600,15
27203,658,06/02/2012,2012,CAM,Aegithalos caudatus,1,870,15
27211,658,06/02/2012,2012,CAM,Aegithalos caudatus,1,140,25
27353,641,05/23/2012,2012,DIL,Aegithalos caudatus,2,2065,5
27655,647,05/10/2012,2012,CAM,Aegithalos caudatus,4,105,5
27768,580,05/07/2012,2012,GEN,Aegithalos caudatus,2,2180,5
27943,631,04/23/2012,2012,DIL,Aegithalos caudatus,2,1642,25
27972,631,04/23/2012,2012,DIL,Aegithalos caudatus,2,1018,5
28311,615,03/20/2012,2012,CAM,Aegithalos caudatus,2,1880,5
28320,615,03/20/2012,2012,CAM,Aegithalos caudatus,2,2040,5
28330,615,03/20/2012,2012,CAM,Aegithalos caudatus,3,970,15
28556,614,03/12/2012,2012,GEN,Aegithalos caudatus,2,1570,5
28793,607,01/20/2012,2012,CAN,Aegithalos caudatus,2,2413,35
28822,607,01/20/2012,2012,CAN,Aegithalos caudatus,2,317,15
28852,603,01/13/2012,2012,GEN,Aegithalos caudatus,3,1400,5
28864,603,01/13/2012,2012,GEN,Aegithalos caudatus,4,2000,5
28871,603,01/13/2012,2012,GEN,Aegithalos caudatus,2,2270,5
28921,821,12/19/2011,2011,DIL,Aegithalos caudatus,3,634,5
28959,818,12/18/2011,2011,CAM,Aegithalos caudatus,2,1700,5
28968,818,12/18/2011,2011,CAM,Aegithalos caudatus,2,180,5
29182,805,11/23/2011,2011,CAM,Aegithalos caudatus,1,2300,5
29194,805,11/23/2011,2011,CAM,Aegithalos caudatus,2,300,5
29201,805,11/23/2011,2011,CAM,Aegithalos caudatus,1,1920,5
29263,806,11/08/2011,2011,DIL,Aegithalos caudatus,8,1960,5
29278,806,11/08/2011,2011,DIL,Aegithalos caudatus,2,1934,5
29281,806,11/08/2011,2011,DIL,Aegithalos caudatus,3,505,35
29301,711,11/02/2011,2011,GEN,Aegithalos caudatus,7,190,5
29360,798,10/25/2011,2011,CAM,Aegithalos caudatus,2,1870,5
29362,798,10/25/2011,2011,CAM,Aegithalos caudatus,2,232,15
29806,797,10/04/2011,2011,DIL,Aegithalos caudatus,4,2195,5
29815,797,10/04/2011,2011,DIL,Aegithalos caudatus,5,2250,15
30106,784,09/16/2011,2011,DIL,Aegithalos caudatus,2,270,35
30181,782,09/10/2011,2011,CAM,Aegithalos caudatus,2,2000,15
30192,782,09/10/2011,2011,CAM,Aegithalos caudatus,3,1800,15
30194,782,09/10/2011,2011,CAM,Aegithalos caudatus,2,75,15
30238,769,08/26/2011,2011,CAM,Aegithalos caudatus,2,2486,15
30283,568,08/25/2011,2011,GEN,Aegithalos caudatus,9,1380,5
30746,759,07/26/2011,2011,DIL,Aegithalos caudatus,2,225,25
30996,756,07/08/2011,2011,CAM,Aegithalos caudatus,2,2030,15
31205,743,06/28/2011,2011,DIL,Aegithalos caudatus,2,995,5
31240,743,06/28/2011,2011,DIL,Aegithalos caudatus,7,1960,5
31254,752,06/25/2011,2011,CAM,Aegithalos caudatus,2,2498,15
31258,752,06/25/2011,2011,CAM,Aegithalos caudatus,1,1676,15
31271,752,06/25/2011,2011,CAM,Aegithalos caudatus,2,1821,15
31273,752,06/25/2011,2011,CAM,Aegithalos caudatus,3,120,15
31767,750,06/06/2011,2011,DIL,Aegithalos caudatus,4,1277,25
31775,750,06/06/2011,2011,DIL,Aegithalos caudatus,2,2260,35
31776,750,06/06/2011,2011,DIL,Aegithalos caudatus,1,2260,15
31926,734,05/22/2011,2011,CAM,Aegithalos caudatus,1,932,5
31931,734,05/22/2011,2011,CAM,Aegithalos caudatus,3,112,5
32232,563,05/06/2011,2011,GEN,Aegithalos caudatus,1,2150,5
